test_id,level,test_family,object_under_test,precondition,input_change,expected_analysis_state,expected_severity,expected_result_path,expected_remediation,actual_state,evidence_reference,owner,notes
CDL-T022,Advanced,propensity provenance,logging policy,Numeric propensity is present,Remove policy version or candidate-set identity,refuse,error,probability_provenance,Restore selection-time probability provenance,,,method-owner,"Retrospective reconstruction needs separate status"
CDL-T023,Advanced,unknown propensity,human policy,Human selection was not randomized,Enter equal probability over buttons,refuse,critical,action_probability,Record unknown and retain Level 1 unless a valid design supports more,,,method-owner,"Visible buttons do not imply equal selection probability"
CDL-T024,Advanced,positivity,target policy,Target selects action B in a context,Logging policy probability for B is zero,refuse,critical,analysis_eligibility,Restrict target policy or collect supported prospective data,,,method-owner,"No overlap means historical data cannot identify that branch"
CDL-T025,Advanced,practical overlap,weighted estimate,Propensity is 0.001 for influential rows,Report unqualified point estimate,refuse,critical,analysis_eligibility,Inspect weights effective sample size truncation sensitivity and target scope,,,method-owner,"Positive is not necessarily useful support"
CDL-T026,Advanced,consistency,action definition,Action says contact now,Pool different channels scripts and time windows as one action,refuse,error,candidate_action_id,Define treatment versions or justify pooling,,,method-owner,"Ill-defined actions undermine causal meaning"
CDL-T027,Advanced,exchangeability,observational comparison,Managers choose urgent items using unlogged knowledge,Call conditional comparison causal,refuse,critical,analysis_eligibility,Capture relevant pre-choice context or avoid causal claim,,,method-owner,"Unmeasured selection reasons can confound results"
CDL-T028,Advanced,direct method,outcome model,Analyst predicts outcomes for every action,Use in-sample fit as policy value,refuse,error,analysis_eligibility,Use suitable validation diagnostics uncertainty and assumption review,,,method-owner,"Model completion does not observe counterfactuals"
CDL-T029,Advanced,inverse propensity,weighted estimate,Known propensities exist,Report estimate without weight diagnostics,refuse,error,analysis_eligibility,Report weight distribution effective sample size and sensitivity,,,method-owner,"High variance can dominate"
CDL-T030,Advanced,doubly robust,off-policy estimate,DR estimator is selected,Call method assumption free,refuse,critical,analysis_eligibility,Document both component models overlap identification conditions and diagnostics,,,method-owner,"Doubly robust is not doubly certain"
CDL-T031,Advanced,uncertainty,policy estimate,Point estimate is calculated,Remove interval or uncertainty statement,refuse,error,analysis_eligibility,Report uncertainty and material assumptions,,,method-owner,"Ranking point estimates alone is fragile"
CDL-T032,Advanced,multiple outcomes,analysis plan,Five outcomes are inspected,Publish only favorable outcome without predesignation,refuse,critical,outcome_definition_id,Predeclare primary outcome and handle multiplicity,,,measurement-owner,"Outcome shopping creates false confidence"
CDL-T033,Architect,repeated units,decision dataset,Same reviewer makes many decisions,Treat every row independent,refuse,error,analysis_eligibility,Model clustering or choose appropriate unit and uncertainty method,,,method-owner,"Row count is not independent sample size"
CDL-T034,Architect,interference,portfolio policy,One facility action changes shared staff capacity,Assume site outcomes independent,refuse,critical,analysis_eligibility,Declare interference structure or redesign evaluation,,,method-owner,"Actions can affect other decision units"
CDL-T035,Architect,policy drift,logging data,Logging policy changed mid-window,Pool all rows without version segmentation,refuse,error,logging_policy_id_version,Segment or model exact policy versions and time,,,method-owner,"Mixture can invalidate propensities"
CDL-T036,Architect,feedback loop,visible shadow,Recommendations change which evidence staff collect,Ignore exposure in outcome analysis,refuse,critical,display_state,Model or separate hidden and visible phases,,,method-owner,"Observation process became policy dependent"
CDL-T037,Architect,off-policy target,target policy,Target policy chooses ineligible action,Estimate its value anyway,refuse,critical,analysis_eligibility,Constrain target policy to governed eligible actions,,,policy-owner,"Statistical support cannot authorize a prohibited action"
CDL-T038,Architect,experiment design,prospective trial,Randomization is proposed on consequential action,Begin without safety privacy legal or operational review,refuse,critical,analysis_eligibility,Select suitable action and complete required governance,,,experiment-owner,"Randomization does not erase duty of care"
CDL-T039,Architect,stopping rule,controlled experiment,Guardrail breaches threshold,Continue to reach sample target,stop,critical,analysis_eligibility,Pause experiment execute incident path and preserve evidence,,,experiment-owner,"Precision target never overrides stop condition"
CDL-T040,Architect,generalizability,completed evaluation,Evidence covers one site and season,Claim portfolio-wide effect,refuse,critical,analysis_eligibility,State scope and test relevant deployment conditions,,,editorial-owner,"External validity needs evidence"
