ledger_row_id,decision_id,exercise_level,facility_id,decision_type,decision_time_utc,context_snapshot_id,candidate_set_id,candidate_action_id,candidate_action_description,eligibility_state,eligibility_reason,policy_id_version,recommender_id_version,recommendation_generated_at_utc,recommendation_rank,score,score_semantics,display_state,display_probability,logging_policy_id_version,action_probability,probability_provenance,chosen_action,choice_authority,choice_reason_code,execution_state,execution_readback,outcome_definition_id,outcome_window_end_utc,outcome_observation_state,observed_outcome_value,censoring_or_co_interventions,analysis_eligibility,limitations
CDL-R011,DEC-DOGWOOD-031,Intermediate,SITE-DOGWOOD,work_packet_presentation,2026-08-06T14:00:00Z,CTX-DOGWOOD-701,CSET-DOGWOOD-031,ACT-EXCEPTION-FIRST,Present exceptions before full evidence packet,eligible,Fictional protocol permits all three presentation forms,POL-REVIEW-11@1.2,PRESENTATION-ROUTER-04@1.0,2026-08-06T13:59:57Z,not_applicable,,no_predictive_score,displayed_and_selected,1.0,LOGPOL-DOGWOOD-04@1.0,0.33,Probability emitted by fictional randomized router over exact candidate set,true,approved_experiment_router,randomized_assignment,executed_and_read_back,fictional UI receipt READ-DOGWOOD-811,OUT-REVIEW-QUALITY@1,2026-08-07T14:00:00Z,factual_observed,complete_disposition_with_two_required_sources,Fictional reviewer handled related items during same shift,level_2_candidate_requires_method_review,"Repeated reviewer and spillover need a declared analysis strategy"
CDL-R012,DEC-DOGWOOD-031,Intermediate,SITE-DOGWOOD,work_packet_presentation,2026-08-06T14:00:00Z,CTX-DOGWOOD-701,CSET-DOGWOOD-031,ACT-CONDENSED,Present condensed summary with source links,eligible,Fictional protocol permits all three presentation forms,POL-REVIEW-11@1.2,PRESENTATION-ROUTER-04@1.0,2026-08-06T13:59:57Z,not_applicable,,no_predictive_score,not_selected,1.0,LOGPOL-DOGWOOD-04@1.0,0.33,Probability emitted by fictional randomized router over exact candidate set,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-REVIEW-QUALITY@1,2026-08-07T14:00:00Z,counterfactual_not_observed,,Fictional exercise,level_2_candidate_requires_method_review,"Unchosen presentation outcome is not observed"
CDL-R013,DEC-ELM-008,Advanced,SITE-ELM,access_anomaly_disposition,2026-08-07T02:10:00Z,CTX-ELM-919,CSET-ELM-008,ACT-HUMAN-REVIEW,Hold decision for authorized human review,eligible,Identity evidence incomplete under fictional invariant,POL-ACCESS-09@4.0,ACCESS-SHADOW-03@0.4,2026-08-07T02:09:55Z,1,0.88,anomaly_score_not_action_probability,visible_shadow,1.0,HUMAN-SAFETY@deterministic,1.0,Fictional invariant deterministically requires human review,true,on_call_manager,insufficient_identity,executed_and_read_back,fictional review-queue receipt READ-ELM-133,OUT-SAFE-DISPOSITION@1,2026-08-07T14:10:00Z,factual_observed,review_completed_without_access_change,Fictional high-consequence use case; no automated access authority,level_1_descriptive_only,"Deterministic logging creates no overlap for alternative actions"
CDL-R014,DEC-ELM-008,Advanced,SITE-ELM,access_anomaly_disposition,2026-08-07T02:10:00Z,CTX-ELM-919,CSET-ELM-008,ACT-AUTO-TEMP-HOLD,Apply automatic temporary access hold,ineligible,Rollback capability and identity evidence are unresolved under fictional invariant,POL-ACCESS-09@4.0,ACCESS-SHADOW-03@0.4,2026-08-07T02:09:55Z,2,0.73,anomaly_score_not_action_probability,not_displayed_policy_filtered,0.0,HUMAN-SAFETY@deterministic,0.0,Action excluded before choice under fictional policy,false,on_call_manager,policy_ineligible,not_executed,,OUT-SAFE-DISPOSITION@1,2026-08-07T14:10:00Z,counterfactual_not_observed,,Fictional high-consequence use case; no automated access authority,not_eligible_for_policy_evaluation,"Target policy must not assign probability to an ineligible action"
CDL-R015,DEC-ELM-008,Advanced,SITE-ELM,access_anomaly_disposition,2026-08-07T02:10:00Z,CTX-ELM-919,CSET-ELM-008,ACT-NOTIFY-ONLY,Notify authorized reviewer without access change,eligible,Fictional policy permits notification but human review remains required,POL-ACCESS-09@4.0,ACCESS-SHADOW-03@0.4,2026-08-07T02:09:55Z,3,0.51,anomaly_score_not_action_probability,visible_shadow,1.0,HUMAN-SAFETY@deterministic,0.0,Fictional current policy never selects notify-only for this context,false,on_call_manager,not_selected,not_executed,,OUT-SAFE-DISPOSITION@1,2026-08-07T14:10:00Z,counterfactual_not_observed,,Fictional exercise,not_eligible_due_to_no_overlap,"Eligibility is not the same as positive logging-policy support"
CDL-R016,DEC-FIR-017,Advanced,SITE-FIR,maintenance_dispatch_window,2026-08-08T15:20:00Z,CTX-FIR-311,CSET-FIR-017,ACT-DISPATCH-NOW,Dispatch qualified routine item now,eligible,Fictional item meets routine dispatch rules,POL-MAINT-04@2.1,DISPATCH-RANKER-05@2.0,2026-08-08T15:19:49Z,1,0.77,estimated_completion_score_uncalibrated,visible_shadow,1.0,HUMAN-DISPATCH@unmodeled,unknown,No selection propensity captured,false,facility_manager,not_selected,not_executed,,OUT-CLOSE72@3,2026-08-11T15:20:00Z,counterfactual_not_observed,,Fictional exercise,level_1_descriptive_only,"Uncalibrated score and unknown propensity block Level 2"
CDL-R017,DEC-FIR-017,Advanced,SITE-FIR,maintenance_dispatch_window,2026-08-08T15:20:00Z,CTX-FIR-311,CSET-FIR-017,ACT-DISPATCH-NEXT-DAY,Schedule qualified routine item for next operating day,eligible,Fictional capacity is available,POL-MAINT-04@2.1,DISPATCH-RANKER-05@2.0,2026-08-08T15:19:49Z,2,0.64,estimated_completion_score_uncalibrated,displayed_and_selected,1.0,HUMAN-DISPATCH@unmodeled,unknown,No selection propensity captured,true,facility_manager,capacity_balance,execution_partially_observed,fictional schedule acceptance without independent arrival readback,OUT-CLOSE72@3,2026-08-11T15:20:00Z,outcome_censored,,Facility inaccessible during fictional weather closure,not_eligible_due_to_censoring_and_readback,"Schedule acceptance is not dispatch readback; censoring rule needs method review"
CDL-R018,DEC-FIR-017,Advanced,SITE-FIR,maintenance_dispatch_window,2026-08-08T15:20:00Z,CTX-FIR-311,CSET-FIR-017,ACT-REMOTE-REVIEW,Request remote evidence review before dispatch,eligible,Fictional evidence packet supports remote review,POL-MAINT-04@2.1,DISPATCH-RANKER-05@2.0,2026-08-08T15:19:49Z,3,0.43,estimated_completion_score_uncalibrated,visible_shadow,1.0,HUMAN-DISPATCH@unmodeled,unknown,No selection propensity captured,false,facility_manager,not_selected,not_executed,,OUT-CLOSE72@3,2026-08-11T15:20:00Z,counterfactual_not_observed,,Fictional exercise,level_1_descriptive_only,"Outcome under remote review was not observed"
CDL-R019,DEC-GROVE-041,Architect,SITE-GROVE,queue_escalation_policy,2026-08-09T17:00:00Z,CTX-GROVE-622,CSET-GROVE-041,ACT-ESCALATE-15,Escalate after 15 minutes,eligible,Fictional policy allows 15 or 30 minute thresholds,POL-QUEUE-07@3.0,QUEUE-POLICY-CANDIDATE@2.2,2026-08-09T16:59:54Z,1,0.70,policy_value_model_output_not_probability,not_selected,1.0,LOGPOL-GROVE-06@1.0,0.02,Probability emitted and used by fictional logging policy,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-DISPOSITION60@2,2026-08-09T18:00:00Z,counterfactual_not_observed,,Fictional exercise; very low propensity may create extreme weights,level_2_candidate_requires_overlap_diagnostics,"Positive probability alone may provide inadequate effective support"
CDL-R020,DEC-GROVE-041,Architect,SITE-GROVE,queue_escalation_policy,2026-08-09T17:00:00Z,CTX-GROVE-622,CSET-GROVE-041,ACT-ESCALATE-30,Escalate after 30 minutes,eligible,Fictional policy allows 15 or 30 minute thresholds,POL-QUEUE-07@3.0,QUEUE-POLICY-CANDIDATE@2.2,2026-08-09T16:59:54Z,2,0.61,policy_value_model_output_not_probability,displayed_and_selected,1.0,LOGPOL-GROVE-06@1.0,0.98,Probability emitted and used by fictional logging policy,true,approved_experiment_router,randomized_assignment,executed_and_read_back,fictional escalation receipt READ-GROVE-442,OUT-DISPOSITION60@2,2026-08-09T18:00:00Z,factual_observed,disposition_within_60_minutes,Fictional staffing change during outcome window,level_2_candidate_requires_overlap_diagnostics,"Targeting 15-minute action may be unsupported despite known propensities"
CDL-R021,DEC-GROVE-041,Architect,SITE-GROVE,queue_escalation_policy,2026-08-09T17:00:00Z,CTX-GROVE-622,CSET-GROVE-041,ACT-NO-ESCALATION,Keep item in standard queue,eligible,Fictional policy permits standard queue for low-risk class,POL-QUEUE-07@3.0,QUEUE-POLICY-CANDIDATE@2.2,2026-08-09T16:59:54Z,3,0.28,policy_value_model_output_not_probability,not_displayed_policy_filtered,0.0,LOGPOL-GROVE-06@1.0,0.0,Fictional logging policy assigns zero probability in this context,false,approved_experiment_router,not_supported,not_executed,,OUT-DISPOSITION60@2,2026-08-09T18:00:00Z,counterfactual_not_observed,,Fictional exercise,not_eligible_due_to_no_overlap,"A target policy choosing this action would violate positivity for this context"
CDL-R022,DEC-HICKORY-055,Architect,SITE-HICKORY,lead_review_packet_order,2026-08-10T18:00:00Z,CTX-HICKORY-010,CSET-HICKORY-055,ACT-EVIDENCE-FIRST,Show sourced evidence before model summary,eligible,Fictional review protocol permits three information orders,POL-REVIEW-11@1.2,PACKET-ROUTER-07@1.4,2026-08-10T17:59:59Z,not_applicable,,no_predictive_score,displayed_and_selected,1.0,LOGPOL-HICKORY-02@1.0,0.34,Probability emitted by fictional randomized router,true,approved_experiment_router,randomized_assignment,executed_and_read_back,fictional display receipt READ-HICKORY-990,OUT-REVIEW-COMPLETE@4,2026-08-10T20:00:00Z,factual_observed,complete_review_with_source_disposition,Fictional same reviewer saw another packet arm earlier in shift,level_2_candidate_requires_interference_review,"Carryover across repeated reviewer decisions may violate the planned analysis"
CDL-R023,DEC-HICKORY-055,Architect,SITE-HICKORY,lead_review_packet_order,2026-08-10T18:00:00Z,CTX-HICKORY-010,CSET-HICKORY-055,ACT-SUMMARY-FIRST,Show model summary before sourced evidence,eligible,Fictional review protocol permits three information orders,POL-REVIEW-11@1.2,PACKET-ROUTER-07@1.4,2026-08-10T17:59:59Z,not_applicable,,no_predictive_score,not_selected,1.0,LOGPOL-HICKORY-02@1.0,0.33,Probability emitted by fictional randomized router,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-REVIEW-COMPLETE@4,2026-08-10T20:00:00Z,counterfactual_not_observed,,Fictional exercise,level_2_candidate_requires_interference_review,"No individual counterfactual outcome is observed"
CDL-R024,DEC-HICKORY-055,Architect,SITE-HICKORY,lead_review_packet_order,2026-08-10T18:00:00Z,CTX-HICKORY-010,CSET-HICKORY-055,ACT-EXCEPTIONS-FIRST,Show policy exceptions before sourced evidence,eligible,Fictional review protocol permits three information orders,POL-REVIEW-11@1.2,PACKET-ROUTER-07@1.4,2026-08-10T17:59:59Z,not_applicable,,no_predictive_score,not_selected,1.0,LOGPOL-HICKORY-02@1.0,0.33,Probability emitted by fictional randomized router,false,approved_experiment_router,randomized_assignment,not_executed,,OUT-REVIEW-COMPLETE@4,2026-08-10T20:00:00Z,counterfactual_not_observed,,Fictional exercise,level_2_candidate_requires_interference_review,"Aggregate policy estimates require declared repeated-unit treatment"
