test_id,level,area,fictional_scenario,expected_result,prohibited_promotion,operator_action,architect_control,evidence_boundary,pass_condition
FOC-T014,Intermediate,queue_overflow,An OPC UA monitored item sets its overflow indicator,Mark the interval incomplete,Do not compute a complete event count,Escalate and bound the loss window,Preserve queue size and overflow status,Fictional teaching case only,Overflow invalidates completeness
FOC-T015,Intermediate,clock,A probe clock is eleven minutes ahead of the governed time source,Mark timing inadmissible for a five-minute decision window,Do not reorder events as exact,Use receipt time only under an explicit degraded rule,Track source clock and uncertainty,Fictional teaching case only,Temporal uncertainty changes admissibility
FOC-T016,Intermediate,lateness,A valid sample arrives after the decision deadline,Preserve it as late historical evidence,Do not rewrite the earlier decision as informed by it,Reconcile the record separately,Store observed received evaluated and decision times,Fictional teaching case only,Late evidence does not time travel
FOC-T017,Intermediate,stuck_value,A temperature value repeats exactly for twelve hours while peer probes vary,Mark suspected stuck source,Do not report a stable environment,Inspect source and compare health tests,Define stuck-value detection by property,Fictional teaching case only,Stable values and stuck sensors remain different
FOC-T018,Intermediate,out_of_range,A humidity probe reports 184 percent,Reject or quarantine under the source rule,Do not clamp silently to 100,Open a quality exception,Preserve raw value and transformation disposition,Fictional teaching case only,Impossible input cannot be normalized invisibly
FOC-T019,Intermediate,privacy,A team proposes interior-unit cameras to close a coverage gap,Keep intentional privacy boundary,Do not treat maximum collection as default,Route legal privacy and accountable-owner review,Encode allowed purpose precision access and retention,Fictional teaching case only,The design preserves the no-collection boundary
FOC-T020,Intermediate,access_scope,A maintenance analyst lacks permission to view security video,Return restricted evidence state,Do not imply the evidence is absent or clear,Route to authorized owner,Separate unavailable-to-view from nonexistent,Fictional teaching case only,Access control does not alter the underlying claim
FOC-T021,Advanced,common_mode,Two signals share the same controller and power supply,Label corroboration common-mode,Do not call the second signal independent,Seek a path addressing the named failure mode,Model power network controller clock cache and software dependencies,Fictional teaching case only,Independence is failure-mode specific
FOC-T022,Advanced,conflict,A door contact says open while the controller state says closed,Return indeterminate conflict,Do not choose the convenient value silently,Freeze consequential automation and inspect,Store conflict policy source priority and owner,Fictional teaching case only,Conflict remains visible and owned
FOC-T023,Advanced,inventory,An inactive retired probe still emits data,Quarantine the observation,Do not include it in the active denominator,Resolve lifecycle and investigate producer identity,Join every source to a governed inventory state,Fictional teaching case only,Retired data cannot masquerade as current coverage
FOC-T024,Advanced,spatial_footprint,A corridor probe is used to claim every unit temperature,Block the expanded claim,Do not generalize without an evidence model,Report the corridor footprint only,Version physical coverage geometry and denominator,Fictional teaching case only,Spatial scope cannot expand silently
FOC-T025,Advanced,derivation,One input to a maximum calculation is missing,Return partial or unknown under the declared gap rule,Do not calculate a complete maximum from incomplete input,Expose missing source and window,Require deterministic transformation and completeness contract,Fictional teaching case only,Derived output retains input completeness
FOC-T026,Advanced,inference,A model estimates a leak from humidity and runtime,Label inferred with uncertainty and alternatives,Do not call water directly observed,Route inspection when threshold is met,Pin model rule inputs version threshold and fallback,Fictional teaching case only,Inference never changes its claim mode
FOC-T027,Advanced,model_drift,A model version changes without a coverage review,Block release for consequential use,Do not assume identical observation requirements,Run readiness suite and owner review,Bind model version to claim and observation contract,Fictional teaching case only,Model change triggers coverage validation
FOC-T028,Advanced,semantic_drift,A field keeps the name online but changes from device session to last message seen,Mark semantic conflict and invalidate prior rule,Do not compare versions as one measure,Open field-definition correction,Version meaning and decision use,Fictional teaching case only,Same name does not imply same claim
FOC-T029,Advanced,attribute_loss,Aggregation removes facility_id,Reject facility-level output,Do not assign the portfolio value to each site,Correct transformation or report portfolio scope,Test identity retention across every transform,Fictional teaching case only,Spatial identity survives or scope degrades
FOC-T030,Advanced,restart,A cumulative counter resets after collector restart,Start a new unbroken sequence,Do not calculate a negative event rate,Annotate restart and affected interval,Use start time sequence and reset semantics,Fictional teaching case only,Restart gaps remain explicit
FOC-T031,Advanced,duplicate,A message is delivered twice under retry,Preserve duplicate identity and count once under rule,Do not inflate event frequency,Deduplicate and retain both delivery attempts,Require event identity and deduplication window,Fictional teaching case only,Delivery duplicates do not become two observations
FOC-T032,Advanced,out_of_order,A late event arrives before an earlier source-time event in storage order,Order by the governed temporal rule and preserve receipt order,Do not overwrite the audit sequence,Re-evaluate only allowed derived windows,Store source and receipt ordering,Fictional teaching case only,Ordering choices are explicit and reproducible
FOC-T033,Architect,negative_claim,A complete no-event claim uses event logs health inventory sequence and retention evidence,Admit only the bounded no-recorded-event statement,Do not claim the physical condition never occurred,Preserve completeness packet,Model negative-claim prerequisites as machine-checkable,Fictional teaching case only,The statement remains bounded to recorded events
FOC-T034,Architect,coverage_release,A controller firmware update revises sampling interval,Require contract and suite revalidation,Do not preserve prior coverage status automatically,Hold consequential use until reviewed,Bind observation configuration to release identity,Fictional teaching case only,Coverage changes with the observation path
FOC-T035,Architect,site_overlay,Portfolio rule assumes one probe per corridor but a site has two disconnected buildings,Fail site compilation,Do not mark the site covered by template,Create site-specific footprint and denominator,Compile portfolio policy against site manifest,Fictional teaching case only,Local topology controls the claim
FOC-T036,Architect,corroboration,A human inspection and sensor agree but the inspection followed the sensor display,Record dependence in the human procedure,Do not call the observations independent,Repeat blind inspection if consequence requires,Model information dependence as well as technical dependence,Fictional teaching case only,Corroboration documents how the observer learned the claim
FOC-T037,Architect,retention,A query asks for ninety days but raw evidence is retained thirty days,Return uncovered historical interval,Do not extrapolate from available days,Report exact retained window,Bind claim horizon to retention and archive policy,Fictional teaching case only,Historical coverage cannot exceed retained evidence
FOC-T038,Architect,authorization,A source is accurate but approved only for maintenance diagnostics,Block customer-facing use,Do not repurpose it silently,Seek purpose-owner approval or another source,Encode allowed uses and audiences,Fictional teaching case only,Accuracy does not grant authority
FOC-T039,Architect,schema,A fictional record conforms to Draft 2020-12 schema,Report structural conformance only,Do not claim observation truth or decision fitness,Proceed to evidence review,Separate schema and operational validation gates,Fictional teaching case only,Schema success stays bounded
FOC-T040,Architect,ai_summary,AI states all facilities normal despite three unknown claims,Reject the summary,Do not convert unknown to normal,Regenerate with unknown and indeterminate counts,Constrain narrative generation to typed claim states,Fictional teaching case only,AI language preserves evidence states
FOC-T041,Architect,degradation,Primary observation fails during a consequential decision,Apply the predeclared stop inspection or reduced-scope rule,Do not improvise a broader fallback,Assign owner and expiry,Version degradation rules with consequence classes,Fictional teaching case only,Failure produces an accountable bounded state
FOC-T042,Architect,portfolio_metric,A dashboard reports 98 percent telemetry coverage from connected-device count,Reject the metric until governed claims and denominator exist,Do not publish device connectivity as claim coverage,Build claim inventory and disclose limitations,Measure coverage by question property footprint time and admissibility,Fictional teaching case only,The percentage is withheld without a reproducible denominator
