test_id,level,control_area,scenario,input_condition,expected_admission,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
TAE-T017,Intermediate,idle_source,Required source stops emitting,No event or heartbeat within source contract,fail,degrade_or_stop,source_health_and_last_observation,system_owner,reconnect_and_revalidate,Silence is not interpreted as no change,"No uptime claim",Delta,Idle-source rule required
TAE-T018,Intermediate,conflict,Two allowed sources disagree,Conflicting values overlap the evaluation interval,review,route_to_conflict_owner,both_versions_and_authority_rule,data_owner,resolve_with_linked_disposition,No arbitrary latest-write-wins result,"No source superiority claim",Delta,Freshness cannot resolve authority
TAE-T019,Intermediate,precision,Date-only expiration treated as instant,Source provides date without time or zone,review,apply_approved_date_semantics_or_escalate,source_field_precision_and_policy,credential_owner,hold_boundary_action,No fabricated millisecond precision,"No credential or legal conclusion",Delta,Precision is evidence
TAE-T020,Intermediate,refresh,Refresh succeeds after stale block,New governing version passes all checks,pass,re_evaluate_then_admit,old_and_new_evaluation_packets,decision_owner,revert_if_readback_fails,Admission references refreshed version only,"No time-savings claim",Delta,Refresh is not automatic authority
TAE-T021,Advanced,bitemporal_history,Retroactive effective correction,New row is recorded today but effective yesterday,pass,preserve_both_histories,old_and_new_versions_with_intervals,data_owner,link_correction_without_overwrite,Queries distinguish what applied from what was recorded,"No database product requirement",Echo,Supports audit without fiction
TAE-T022,Advanced,replay,Historical replay uses current corrected row,Replay input was not recorded at original decision time,fail,rebuild_from_decision_time_versions,recording_history_and_snapshot_hash,evaluation_owner,withdraw_invalid_replay,Future knowledge is excluded,"No model result claim",Echo,Prevents leakage
TAE-T023,Advanced,replay,Exact historical packet recovered,All versions existed and were admissible at original evaluation,pass,replay_with_pinned_versions,content_hashes_and_recording_intervals,evaluation_owner,flag_nonreproducible_output,Packet matches original hashes,"No deterministic model claim unless tested",Echo,Replay integrity only
TAE-T024,Advanced,join_safety,One critical input fails among five,Four inputs pass and one safety precondition fails,fail,block_entire_action,per_fact_admission_results,decision_owner,approved_read_only_fallback,Critical failure is not averaged away,"No safety outcome claim",Echo,Weakest required edge controls
TAE-T025,Advanced,join_safety,Optional context is stale,Required inputs pass and optional descriptive context fails,review,omit_optional_context_and_label,decision_contract_requiredness,decision_owner,restore optional data after refresh,Behavior follows declared requiredness,"No universal fail-closed rule",Echo,Consequence-specific response
TAE-T026,Advanced,execution_horizon,Queue delay expires envelope,Fact passes at approval but action starts after envelope_end,fail,revalidate_before_execution,approval_packet_and_start_time,action_owner,cancel_queued_action,Start gate uses current evaluation,"No execution or product claim",Foxtrot,Approval is not indefinite
TAE-T027,Advanced,execution_horizon,Action crosses effective end,Expected duration extends beyond authorized window,fail,shorten_reschedule_or_stop,effective_end_and_duration_estimate,action_owner,rollback_before_window_end,Full required horizon fits envelope,"No maintenance duration claim",Foxtrot,Estimate source must be named
TAE-T028,Advanced,readback,Provider receipt without state observation,Downstream accepted command but no independent readback arrives,review,keep_state_unreconciled,receipt_and_missing_readback_marker,action_owner,rollback_or_manual_inspection,Accepted is not labeled complete,"No provider reliability claim",Foxtrot,Separate send and result
TAE-T029,Advanced,readback,Readback contradicts requested state,Independent observation differs from accepted command,fail,stop_and_open_exception,receipt_readback_and_identity,action_owner,execute_approved_recovery,Contradiction remains visible and owned,"No incident or safety claim",Foxtrot,No receipt-only closure
TAE-T030,Advanced,correction,Correction affects executed decision,Late invalidation overlaps action evidence,review,link_case_and_assess_consequence,correction_decision_action_links,review_owner,perform_bounded_remediation,Original evidence plus correction are retained,"No causal harm claim",Foxtrot,Assessment remains separate
TAE-T031,Architect,policy_version,Temporal threshold changes without version,Maximum age is edited in place,fail,reject_unversioned_contract,policy_change_record_and_tests,policy_owner,restore_prior_version,Every evaluation names immutable contract version,"No policy-as-code deployment claim",Grove,Configuration is evidence
TAE-T032,Architect,policy_release,New threshold passes happy path only,No boundary lateness or clock tests exist,fail,hold_release,test_suite_and_coverage_map,release_owner,keep_prior_contract_active,Required adversarial classes pass,"No software quality certification",Grove,Testing is consequence-based
TAE-T033,Architect,watermark,Heuristic watermark treated as completeness proof,A later earlier-timestamped event remains possible,fail,retain_late_event_path,watermark_policy_and_late_route,event_architect,revise_projection_with_link,Heuristic limitation is explicit,"No Flink deployment claim",Grove,Platform concept only
TAE-T034,Architect,partition_alignment,Fast streams outrun one required slow stream,Join uses latest values without per-source progress,fail,hold_or_degrade_by_contract,per_source_progress_state,event_architect,reprocess_after_slow_source_recovers,Required source lag controls join,"No scale or latency claim",Grove,No average watermark
TAE-T035,Architect,immutability,Correction overwrites decision snapshot,Historical bytes cannot be recovered,fail,quarantine_evaluation_result,content_addressed_snapshot_and_revision_link,evidence_owner,restore_from_verified_backup,Decision-time evidence remains reproducible,"No backup recovery claim",Grove,Correction is a new version
TAE-T036,Architect,interrupt,Envelope closes during long-running action,Critical invalidation arrives after start,review,apply_declared_interrupt_policy,invalidation_and_action_state_machine,action_owner,stop_or_safe_complete_per_policy,System behavior is deterministic and evidenced,"No universal interruption rule",Harbor,Requires action-specific design
TAE-T037,Architect,clock_regression,Source clock moves backward,New event timestamp precedes prior event beyond error bound,review,quarantine_and_preserve_arrival_order,clock_health_and_event_sequence,system_owner,resync_and_reconcile,Clock regression is visible not silently sorted,"No device defect conclusion",Harbor,Arrival and event time separate
TAE-T038,Architect,schema_evolution,Timestamp meaning changes across versions,Field switches from ingestion to occurrence semantics,fail,version_and_migrate_semantics,schema_versions_and_migration_test,data_architect,replay_with_version_specific_parser,No mixed interpretation across versions,"No standards conformance claim",Harbor,Semantic change is breaking
TAE-T039,Architect,portfolio_overlay,Site overlay weakens critical time limit,Local override exceeds portfolio invariant without authority,fail,reject_overlay,policy_manifest_and_authority,policy_owner,restore_invariant_threshold,Local variation cannot erase invariant,"No legal or facility relationship claim",Harbor,Connects to policy compiler
TAE-T040,Architect,end_to_end,Full admission execution readback and correction chain,All required facts pass action fits horizon readback arrives and no later invalidation appears,pass,close_with_linked_evidence,admission_packet_action_receipt_readback_and_window_close,evidence_owner,reopen_if_correction_arrives,Every state and version remains separately queryable,"Method evidence only not operational outcome proof",Harbor,Completion stays narrower than benefit
