test_id,level,control_area,scenario,input_condition,expected_decision,expected_enforcement,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
PAC-T011,Intermediate,fact_admission,Role source stale,Policy requires current role,REQUIRE_REVIEW,none,source_time_horizon_and_owner,identity owner,refresh or return for evidence,Stale role never accepted,"No personnel claim",Pine,Observed and effective times differ
PAC-T012,Intermediate,source_conflict,Two sources disagree,Authority map selects neither,INDETERMINATE,none,conflict_packet_and_authority_map,data steward,escalate source ownership,Conflict remains visible,"No master-data conclusion",Pine,Recency alone is insufficient
PAC-T013,Intermediate,idempotency,Enforcement retry repeats,Same decision and command key,ALLOW,no_duplicate_effect,decision_command_and_target_response,adapter owner,return prior bounded disposition,One command family is preserved,"Fictional adapter",River,Retry is not a new authority event
PAC-T014,Intermediate,decision_expiry,Valid allow decision,Enforcement occurs after expiry,EXPIRED,block,decision_expiry_and_enforcement_time,enforcement owner,re-evaluate current facts,Stale decision cannot act,"No physical action",River,Decision window is bounded
PAC-T015,Intermediate,target_binding,Decision targets one resource,Adapter points to another,INDETERMINATE,block,decision_target_and_command_target,adapter owner,quarantine adapter mapping,Target mismatch cannot enforce,"No device claim",Juniper,Correlation includes resource identity
PAC-T016,Intermediate,partial_enforcement,Adapter applies only part,Downstream returns partial,ALLOW,partially_enforced,command_and_downstream_response,workflow owner,stop retry and open exception,Partial is not complete,"No work completion",Juniper,Decision and disposition are separate
PAC-T017,Intermediate,reversal,Action applied,Approved reversal requested,ALLOW,reversed,original_and_reversal_chain,consequence owner,verify downstream reversal state,History is appended not overwritten,"Fictional reversal",Maple,Original evidence remains
PAC-T018,Intermediate,not_applicable,Policy conditions do not match,Input is valid but out of scope,NOT_APPLICABLE,none,scope_evaluation,policy owner,select applicable policy if authorized,Not applicable is not deny,"No eligibility conclusion",Maple,Decision vocabulary is exact
PAC-T019,Intermediate,manual_override,Reviewer chooses override,Authority scope is current,REQUIRE_REVIEW,approved_override,reviewer_authority_reason_and_expiry,qualified reviewer,monitor and expire exception,Override is separately evidenced,"No real exception",North,Human action is not hidden in system result
PAC-T020,Intermediate,unauthorized_override,Reviewer clicks approve,Reviewer lacks facility scope,REQUIRE_REVIEW,none,reviewer_scope_and_facility,review owner,reroute to qualified authority,Interface access is not authority,"No personnel fact",North,Same person may not qualify everywhere
PAC-T021,Intermediate,privacy,Decision log contains sensitive field,Mask rule absent,INDETERMINATE,hold_logging,log_schema_and_privacy_review,privacy owner,stop export and apply approved mask,Sensitive input is not exported by default,"No privacy compliance claim",Oak,Logging needs its own policy
PAC-T022,Intermediate,retention,Decision evidence aged out,Open exception still depends on it,REQUIRE_REVIEW,hold_close,retention_and_exception_link,evidence owner,preserve under approved exception rule,Close is not claimed without evidence,"No retention advice",Oak,Retention and operational need align
PAC-T023,Advanced,policy_change,Version 13 changes consequence,Tests cover only version 12,INDETERMINATE,block_activation,change_diff_and_v13_tests,change authority,complete independent test suite,New consequence is never inherited silently,"No release claim",Pine,Version change is a control event
PAC-T024,Advanced,bundle_integrity,Approved manifest,Loaded bundle hash differs,INDETERMINATE,block,bundle_manifest_hash_and_status,platform owner,rollback to exact approved version,Hash mismatch cannot evaluate,"No deployment claim",Pine,Status telemetry is required
PAC-T025,Advanced,canary,Policy passes tests,No observe-mode sample exists,REQUIRE_REVIEW,hold_activation,test_report_and_shadow_sample,change authority,run bounded canary,Production mode does not precede evidence,"Proposed release method",River,Canary scope is exact
PAC-T026,Advanced,rollback,New policy increases holds,Rollback artifact missing,REQUIRE_REVIEW,stop_expansion,release_and_rollback_manifest,platform owner,reconstruct approved rollback before continuation,Expansion waits for recoverability,"No measured performance claim",River,Metric is diagnostic not outcome proof
PAC-T027,Advanced,clock_skew,Decision and source clocks diverge,Freshness becomes ambiguous,INDETERMINATE,none,clock_sources_and_skew_bound,platform owner,correct clock or use approved tolerance,Freshness is not guessed,"Fictional timing",Juniper,Occurred observed and evaluated times are distinct
PAC-T028,Advanced,replay,Historical decision replayed,Current data loaded accidentally,INDETERMINATE,none,historical_bundle_and_input_hash,assurance owner,replay from immutable snapshot,Replay never substitutes current context,"No reproduced outcome claim",Juniper,Exact bytes are required
PAC-T029,Advanced,policy_conflict,Two applicable policies disagree,Combining rule absent,INDETERMINATE,block,policy_set_and_combining_rule,policy authority,approve explicit precedence,Engine does not invent priority,"No universal combining rule",Maple,Conflict logic is governed
PAC-T030,Advanced,dependency_outage,Central PDP unavailable,High-consequence request arrives,INDETERMINATE,approved_fail_state,dependency_health_and_consequence_class,workflow owner,route to approved recovery path,Fail behavior matches consequence class,"No availability promise",Maple,Fail closed is not universal
PAC-T031,Advanced,segregation,Author deploys own change,Policy requires independent approval,INDETERMINATE,block_activation,author_approver_and_release_records,change authority,restart qualified approval chain,Segregation rule is enforced,"No staffing conclusion",North,Role combination follows approved policy
PAC-T032,Advanced,coverage,Happy paths pass,Unknown and adversarial cases absent,REQUIRE_REVIEW,hold_activation,test_inventory_and_risk_tier,test owner,add risk-based negative tests,Coverage matches consequence,"No certification claim",North,Line coverage alone is insufficient
PAC-T033,Architect,distributed_state,Three edge PDPs run,One retains old bundle,INDETERMINATE,quarantine_stale_node,bundle_status_by_instance,platform owner,remove stale node and verify convergence,Version skew cannot disappear in totals,"No high-availability claim",Oak,Instance identity is retained
PAC-T034,Architect,semantic_versioning,Input schema changes,Policy still assumes old units,INDETERMINATE,block,schema_contract_and_compatibility_tests,data architect,deploy explicit adapter or new policy,Unit change cannot coerce silently,"Fictional schema",Oak,Semantic migration is versioned
PAC-T035,Architect,decision_provenance,Decision has result,Policy and fact hashes are missing,INDETERMINATE,none,policy_input_and_decision_hashes,assurance owner,repair evidence chain and re-evaluate,Result is independently reconstructable,"No cryptographic assurance claim",Pine,Hash supports identity not correctness
PAC-T036,Architect,explanation,AI drafts reason,Text conflicts with deterministic reason code,ALLOW,withhold_explanation,decision_reason_and_ai_output,communications owner,regenerate or use deterministic copy,Explanation never changes disposition,"No explainability guarantee",Pine,AI narrative is subordinate
PAC-T037,Architect,model_input,AI-derived field enters policy,No admission rule identifies it as candidate,INDETERMINATE,block,input_lineage_and_admission_rule,AI governance owner,reclassify and require authoritative disposition,Candidate cannot masquerade as fact,"No AI validation claim",River,Lineage crosses the decision boundary
PAC-T038,Architect,assurance_sampling,Decision volume is high,No sample of enforcement outcomes exists,REQUIRE_REVIEW,hold_expansion,decision_enforcement_and_outcome_sample,assurance owner,run risk-based sample,Log volume is not effectiveness,"No measured result",River,Outcomes remain separate
PAC-T039,Architect,emergency_change,Emergency rule activated,Approval is provisional and expiring,ALLOW,bounded_enforcement,emergency_authority_scope_and_expiry,emergency authority,auto-expire and retrospective review,Emergency scope cannot become permanent,"No emergency instruction",Juniper,Temporary authority is explicit
PAC-T040,Architect,decommission,Policy retired,Logs and rollback links remain required,NOT_APPLICABLE,block_new_decisions,retirement_record_archive_and_target_inventory,policy owner,verify all targets and preserve approved evidence,Retirement stops use without deleting history,"No retention or compliance claim",Juniper,Decommission is a lifecycle state
