case_id,level,layer,scenario,failure,test_input,expected_admission,expected_control,owner,required_evidence,pass_condition,prohibited_inference,side_effect_state,notes
"OCR-023","Advanced","authority_policy","Separation-of-duties collision","Requester is also sole approver where independent review is required","Same actor in two roles","rejected_authority","Require qualified independent authorizer","control owner","role and review policy","Disallowed role combination is blocked","Any human approval satisfies the gate","none","Fictional test."
"OCR-024","Advanced","event_time","Clock reference mismatch","One timestamp is local wall time without zone","Naive and UTC timestamps","unknown_required","Require timezone and clock meaning","source owner","clock metadata","No silent time-zone conversion occurs","Displayed time is UTC","none","Fictional test."
"OCR-025","Advanced","event_time","Schema evolution","New producer changes field meaning under same event type","Unversioned semantic change","rejected_authority","Quarantine until schema and mapping update","event schema owner","pinned schema and compatibility result","Old consumer cannot misread new meaning","Valid JSON is compatible event data","none","Fictional test."
"OCR-026","Advanced","governing_state","Retrieval outranks authority","High similarity document conflicts with governing field record","Top-ranked retrieved passage","rejected_authority","Admit field owner and expose document conflict","source authority owner","retrieval and source-field evidence","Relevance does not decide authority","Top result is governing truth","none","Fictional test."
"OCR-027","Advanced","governing_state","Inference recirculation","Generated summary is stored and retrieved as source","AI-authored note in search index","rejected_authority","Label derivation and block source promotion","data governance owner","generation provenance and origin refs","Generated narrative cannot become primary evidence","Stored text is a source record","none","Fictional test."
"OCR-028","Advanced","decision_action","Consequence expansion","One-facility proposal becomes portfolio action","Population changes after evaluation","rejected_scope","Create new context and consequence review","operations owner","population diff and approval","No scale expansion inherits prior decision","Same field means same consequence","none","Fictional test."
"OCR-029","Advanced","decision_action","Duplicate retry","Timeout follows a possibly successful consequential call","Unknown provider state","admitted_with_limit","Query by idempotency key before retry","system owner","attempt and provider receipt history","No duplicate side effect occurs","Timeout means nothing happened","unknown","Fictional test."
"OCR-030","Advanced","all","Partial context cache invalidation","Source changes but cached policy result remains","Mixed context versions","held_conflict","Invalidate dependent decision projection","context owner","dependency and version graph","Every output names one coherent manifest","Newest source plus old decision is acceptable","none","Fictional test."
"OCR-031","Architect","identity","Non-injective mapping","Two source IDs merge to one entity without merge authority","Many-to-one mapping","held_conflict","Require governed merge event and successor relation","identity architect","merge provenance","Historical identities remain traceable","Shared address proves same entity","none","Fictional test."
"OCR-032","Architect","authority_policy","Delegated chain truncation","Current actor is known but intermediary delegation is missing","Partial actor chain","unknown_required","Reject until complete bounded chain is reproduced","security architect","delegation lineage","Subject actor authorizer chain is inspectable","Final token proves full delegation","none","Fictional test."
"OCR-033","Architect","authority_policy","Conflicting policies","Two active policy versions return different results","Dual active rules","held_conflict","Route to policy owner and preserve both evaluations","policy architect","effective intervals and precedence rule","No arbitrary winner is selected","Newest identifier has precedence","none","Fictional test."
"OCR-034","Architect","event_time","Bitemporal correction","Recorded correction changes knowledge without changing past effective fact","Correction event","admitted_with_limit","Preserve valid and transaction histories","data architect","prior and correction versions","As-known and as-effective queries differ correctly","Correction rewrites all historical knowledge","none","Fictional test."
"OCR-035","Architect","event_time","Replay divergence","Same event set yields different state after code change","Replay under new reducer","held_conflict","Pin reducer version and compare outputs","platform architect","event set schema reducer hashes","Divergence is explicit before replacement","Same events guarantee same state","none","Fictional test."
"OCR-036","Architect","governing_state","Three-valued policy input","Unknown is coerced to false before evaluation","Missing predicate","unknown_required","Preserve unknown through policy evaluation","policy architect","typed state and evaluation trace","Unknown cannot satisfy false branch silently","Unknown equals false","none","Fictional test."
"OCR-037","Architect","governing_state","Context digest collision of meaning","Bytes match but external source semantics changed","Stable artifact hash","admitted_with_limit","Pin semantic version and authority contract","data architect","hash schema source contract","Digest is not presented as truth proof","Same bytes mean same operational meaning","none","Fictional test."
"OCR-038","Architect","decision_action","Readback from replica","Action readback uses a stale non-governing cache","Matching replica response","rejected_authority","Read governing target or expose bounded lag","system architect","target authority and consistency contract","Closure waits for admitted readback","Matching cache proves reconciliation","unknown","Fictional test."
"OCR-039","Architect","decision_action","Rollback without new authority","Correction is executed under the original action grant","Proposed rollback","rejected_authority","Create separate correction context and approval","operations architect","prior effect and correction envelope","Rollback has independent consequence and readback","Rollback is automatically authorized","partial","Fictional test."
"OCR-040","Architect","all","Cross-layer completeness","Each layer passes locally but manifest cannot reproduce dependencies","Fragmented records","unknown_required","Require one versioned context manifest and rejection report","context architect","identity authority time state decision dependency graph","Qualified reviewer can reproduce every admission and exclusion","Local validation proves whole-context fitness","none","Fictional test."
