case_id,level,scenario,access_object,failure,test_input,expected_control,expected_state,required_evidence,owner,reviewer,pass_condition,prohibited_inference,notes
"ARR-012","Intermediate","Parent property inheritance","property grant","Child resource shows implicit owner","Containing Search Console property grants rights","Record parent identity and removal constraints","held","Parent and child permission readback","Web Operations Owner","Access Reviewer","Implicit rights are traced to source","Child user list is complete access inventory","Fictional test."
"ARR-013","Intermediate","Verification token remains","property owner","Removing user permits re-verification","DNS token is still present","Remove token only after continuity and rollback plan","investigate","Token inventory DNS readback and continuity proof","Domain Owner","Web Operations Reviewer","User and token paths are both resolved","User removal revokes verified ownership","Fictional test."
"ARR-014","Intermediate","Deploy key survives offboarding","repository","User removed but key writes","Repository has write deploy key","Inventory and revoke key then verify access","held","Repository key list and audit log","Repository Owner","Security Reviewer","No unowned key path remains","Organization removal revokes repository keys","Fictional test."
"ARR-015","Intermediate","Plugin expands WordPress role","site role","Documented role understates capabilities","Custom plugin adds capability","Inspect effective capability set under current code","held","Role export plugin inventory and test","Site Owner","Application Reviewer","Observed permissions match approved task","Default role table proves actual permissions","Fictional test."
"ARR-016","Intermediate","Business group over-scope","profile grant","Single-site task gets all locations","Manager inherits group profiles","Reduce to exact profile or document necessity","reduce","Group profile membership and task scope","Facility Identity Owner","Regional Reviewer","Grant reaches only required facilities","Manager title implies narrow scope","Fictional test."
"ARR-017","Intermediate","Recovery factor retained","account","Former custodian can restore access","Shared phone remains recovery method","Transfer and verify recovery custody","held","Recovery settings and custody record","Identity Owner","Security Reviewer","Approved custodian controls every recovery factor","Password reset removes old recovery access","Fictional test."
"ARR-018","Intermediate","Service account owner left","service identity","Nonhuman identity has no accountable owner","Sponsor employment ended","Assign owner or disable service safely","investigate","Service inventory dependency and sponsor record","Technology Owner","Control Reviewer","Current accountable owner and continuity exist","Running integration proves legitimate ownership","Fictional test."
"ARR-019","Intermediate","Role changed silently","user grant","Platform capability differs from prior review","Documentation or configuration changed","Version review and reapprove effective permissions","held","Prior and current role definitions","Access Owner","Platform Reviewer","Material capability delta is resolved","Same role name means same permissions","Fictional test."
"ARR-020","Intermediate","MFA status stale","privileged role","Old evidence treated as current","MFA checked one year ago","Apply evidence freshness rule and new readback","investigate","Authentication-policy and account readback","Identity Owner","Security Reviewer","MFA evidence is current and scoped","Past enrollment proves present enforcement","Fictional test."
"ARR-021","Intermediate","Last continuity owner","platform owner","Removal could strand resource","Only known owner scheduled for revocation","Prove alternate approved continuity before change","held","Current owner list recovery and authority evidence","Business Owner","Continuity Reviewer","Resource remains recoverable after bounded change","Least privilege requires immediate deletion","Fictional test."
"ARR-022","Intermediate","Offboarding race","user grant","HR state and platform removal out of order","Termination effective before sync","Use effective-time event and exception owner","held","Authoritative lifecycle event and removal receipt","Identity Operations","HR and Security Reviewer","Every affected assignment has timely disposition","Queued offboarding proves completion","Fictional test."
"ARR-023","Advanced","Standing privilege instead of activation","privileged role","High privilege remains continuously active","Admin task occurs monthly","Use time-bound activation where supported or compensating control","reduce","Role history task cadence and platform capability","Security Owner","Business Reviewer","Exposure window matches justified task","Common admin use requires permanent admin","Fictional test."
"ARR-024","Advanced","Conflicting source owners","identity grant","HR vendor system and platform disagree","Sponsor and account state conflict","Preserve conflict and resolve field authority","held","Authority matrix and source snapshots","Identity Governance Owner","Business Reviewer","No source is silently preferred","Newest timestamp proves authority","Fictional test."
"ARR-025","Advanced","App installation overreach","integration","App scope exceeds service need","App installed organization-wide","Reduce installation and token permissions","reduce","App manifest permission and resource list","Application Owner","Security Reviewer","Effective app scope matches purpose","User role review covers app access","Fictional test."
"ARR-026","Advanced","Session remains after revocation","user grant","Active session outlives assignment","Platform supports session invalidation","Revoke assignment and sessions then fresh test","held","Session controls revocation receipt and denial test","Identity Owner","Incident Reviewer","Fresh session and prior session are denied as intended","User-list removal ends every session","Fictional test."
"ARR-027","Advanced","Environment inheritance","repository role","Test role reaches production deployment","Environment protection grants inherited path","Separate repository and environment permissions","held","Repository environment and workflow configuration","Release Owner","Security Reviewer","Production action requires distinct approval","Repository write always equals deploy authority","Fictional test."
"ARR-028","Advanced","Cross-facility name collision","profile access","Renamed facilities map to wrong scope","Two profiles share a name","Resolve stable facility and platform resource IDs","held","Facility identity register and profile IDs","Facility Identity Owner","Data Steward","Each role maps to one intended facility identity","Matching name proves matching facility","Fictional test."
"ARR-029","Advanced","Emergency account untested","break-glass grant","Continuity path may not work","Account exists but no governed test","Run bounded non-destructive recovery test","investigate","Test plan authentication receipt and rollback","Security Owner","Independent Reviewer","Continuity works without leaving excess access","Account existence proves recovery","Fictional test."
"ARR-030","Advanced","Approval scope drift","user grant","Approved task ended but adjacent work continues","Project changed after approval","Reapprove exact new purpose role scope and end","held","Original approval change record and new task","Decision Owner","Access Reviewer","New work has independent authorization","Related work inherits prior approval","Fictional test."
"ARR-031","Architect","Access graph incomplete","portfolio access","Flat register misses transitive paths","Person to group to app to resource chain","Build subject-role-resource dependency graph","held","Identity group app token and resource inventories","Identity Architecture Owner","Security Reviewer","Every effective path is traversable and owned","Direct assignments are the complete graph","Fictional test."
"ARR-032","Architect","Policy decision not enforced","authorization service","Approved policy and runtime differ","Policy says expired but token succeeds","Compare exact policy and enforcement versions","incident-review","Policy hash runtime decision and access test","Authorization Platform Owner","Control Reviewer","Expired grant is denied and mismatch corrected","Approved policy proves runtime enforcement","Fictional test."
"ARR-033","Architect","Event replay reactivates grant","provisioning workflow","Old provisioning event applies twice","Queue replays accepted invite","Use idempotent grant identity and current authority check","held","Provisioning event ledger and grant state machine","Identity Platform Owner","Reliability Reviewer","Replay cannot create duplicate or expired access","Successful event processing proves valid grant","Fictional test."
"ARR-034","Architect","Clock disagreement","time-bound grant","Expiry differs by service clock","Identity provider and app time zones differ","Use authoritative UTC interval and skew handling","held","Clock source token claims and enforcement logs","Identity Platform Owner","Architecture Reviewer","All enforcement points deny after bounded skew","Displayed end date proves synchronized expiry","Fictional test."
"ARR-035","Architect","Revocation fails downstream","federated access","Identity removal does not clear SaaS local account","SCIM deprovision reports success","Read back every relying platform and exception","held","Provisioning receipt platform user state and sessions","Identity Governance Owner","Independent Reviewer","Each downstream assignment has verified disposition","Provider success receipt proves target removal","Fictional test."
"ARR-036","Architect","AI proposes its own privilege","AI agent identity","Agent selects approver scope and execution","Automation requests broader role","Require external policy human authority and bounded executor","held","Proposal policy result approval and runtime receipt","Responsible AI Owner","Security and Business Reviewer","AI cannot approve or exercise beyond exact authorized envelope","High confidence justifies privilege","Fictional test."
