test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
CMG-T012,Intermediate,link_destination,Approved text contains support link,Target redirects to login error,returned_for_source,hold,final_url_and_user_path,web owner,repair or use approved route,Link text and target both work,"No service availability",Fir,Test recipient path
CMG-T013,Intermediate,technical_vs_operational,Phone connects,Handling not verified,connected_handling_unverified,hold,connection_and_handling_checks,communications owner,sample approved path,Technical result remains bounded,"No response-time claim",Grove,Two checks
CMG-T014,Intermediate,subject_privacy,Subject exposes account condition,Body could carry bounded wording,returned_for_privacy,hold,subject_preview_and_privacy_profile,privacy owner,minimize and re-review,Subject is evaluated separately,"No privacy compliance claim",Grove,Lock screens expose subjects
CMG-T015,Intermediate,translation,Machine translation prepared,Qualified review absent,returned_for_wording,hold,source_text_translation_and_reviewer,language owner,obtain review or approved alternative,Candidate translation is labeled,"No comprehension claim",Harbor,Language authority
CMG-T016,Intermediate,accessibility,Image contains material text,Text alternative missing,returned_for_accessibility,hold,render_and_alt_text,accessibility owner,add equivalent text and retest,Material content is perceivable,"No WCAG conformance claim",Harbor,Whole path matters
CMG-T017,Intermediate,send_window,Approval expires at noon,Queue attempts at 12:05,expired,block,approval_and_queue_times,channel owner,re-review current packet,Expired approval cannot send,"No send claim",Ivy,Time window is exact
CMG-T018,Intermediate,duplicate_queue,Retry repeats,Same message and query version already queued,duplicate_blocked,none,idempotency_and_queue_receipt,channel owner,return prior bounded state,Duplicate is not a new send,"Fictional queue",Ivy,Idempotency preserves family
CMG-T019,Advanced,query_rebuild,Recipient query reruns,Count and membership change,review_required,hold,old_new_query_hash_counts_and_diff,data owner,apply approved tolerance or re-review,Population change is visible,"No recipient population claim",Juniper,Count alone is insufficient
CMG-T020,Advanced,source_conflict,Two approved systems disagree,Authority precedence absent,returned_for_source,hold,conflict_packet_and_owner_map,data steward,qualified disposition,AI does not choose convenient source,"No authoritative-state claim",Juniper,Conflict preserved
CMG-T021,Advanced,claim_transformation,Source says processing,Draft says completed,returned_for_wording,hold,source_span_transformation_and_claim,source owner,restore bounded meaning,Transformation cannot promote state,"No transaction completion",Alder,Semantic diff
CMG-T022,Advanced,correction,Wrong message discovered,Affected population cannot be reconstructed,incident_open,pause_remaining,queue_receipts_query_and_versions,incident owner,rebuild exact affected set before correction,Correction is evidence-driven,"No incident result",Alder,Plan exists before send
CMG-T023,Advanced,unsubscribe,Preference changes after approval,Queue uses stale population,review_required,hold,current_preference_snapshot,channel owner,rebuild under approved rules,Approval does not freeze eligibility,"No consent conclusion",Birch,Channel rules are qualified
CMG-T024,Advanced,provider_failure,Partial batch accepted,Retry target unknown,exception_open,pause,provider_batch_and_recipient_dispositions,channel owner,retry only unresolved approved recipients,Partial is not total failure or success,"No delivery result",Birch,Per-recipient state
CMG-T025,Advanced,reply_routing,Reply-to address works,Queue owner unavailable,returned_for_authority,hold,reply_path_owner_and_escalation,communications owner,assign governed coverage,Message has an owned response path,"No staffing claim",Cedar,Department label is insufficient
CMG-T026,Advanced,personalization,Merge field missing,Fallback reveals internal token,failed,block,template_render_and_sample,template owner,repair fallback and rerender,No unresolved tokens reach queue,"Fictional template",Cedar,Test edge values
CMG-T027,Advanced,channel_switch,Email approved,Workflow switches to text,approval_scope_invalid,hold,approval_channel_and_new_channel_rules,channel authority,repeat channel-specific review,One channel approval is not universal,"No channel eligibility claim",Delta,Semantics differ
CMG-T028,Architect,provenance,Message hash exists,Claim-source links missing,incomplete,hold,message_claim_source_graph,assurance owner,rebuild evidence graph,Hash proves identity not correctness,"No cryptographic assurance claim",Delta,Reconstructable chain
CMG-T029,Architect,clock_skew,Source and queue clocks differ,Approval appears valid ambiguously,indeterminate,block,clock_sources_and_skew_bound,platform owner,correct clock and re-evaluate,Timing is not guessed,"Fictional timing",Elm,Observed effective approved queued
CMG-T030,Architect,replay,Historical message reviewed,Current sources loaded in replay,failed,none,immutable_message_query_sources_and_policy,assurance owner,replay exact historical packet,Replay never substitutes current data,"No reproduced outcome claim",Elm,Exact bytes
CMG-T031,Architect,data_minimization,Review packet copies recipient file,Protected locators would suffice,returned_for_privacy,quarantine_copy,data_flow_and_access_log,privacy owner,remove duplicate and limit access,Evidence package is minimized,"No privacy compliance claim",Fir,Do not centralize exposure
CMG-T032,Architect,ai_explanation,AI summary omits source conflict,Deterministic packet shows conflict,returned_for_wording,withhold_summary,ai_output_and_source_packet,review owner,regenerate or use deterministic view,Explanation never changes evidence,"No explainability guarantee",Fir,Human sees raw bounded facts
CMG-T033,Architect,accessibility_regression,Desktop passes,Mobile action link clips,returned_for_accessibility,hold,multi_viewport_render_and_keyboard_test,accessibility owner,repair and retest full path,One viewport is not completion,"No conformance claim",Grove,Responsive variation matters
CMG-T034,Architect,segregation,Drafter approves own high-tier message,Policy requires independent review,returned_for_authority,hold,drafter_reviewer_and_tier_policy,communications authority,restart qualified review,Segregation rule is enforced,"No staffing conclusion",Grove,Rule is context-specific
CMG-T035,Architect,assurance_sampling,Dashboard says all sent,No delivery-failure or correction sample,review_required,withhold_effectiveness,send_delivery_response_and_correction_sample,assurance owner,run risk-based sample,Volume is not message effectiveness,"No measured result",Harbor,Limitations retained
CMG-T036,Architect,decommission,Template retired,Queued messages still reference it,exception_open,pause_queue,retirement_record_queue_inventory_and_hashes,template owner,cancel or re-review exact queued items,Retirement stops future use without erasing history,"No cancel or delivery claim",Harbor,Inventory is exact
