test_id,level,domain,fictional_scenario,required_evidence,expected_state,required_action,forbidden_inference,fictional,evidence_boundary
FIC-TEST-030,Advanced,Reconciliation,Physical effect matches but governing schedule did not update,Physical and governing observations,reconciliation_failed,Repair or compensate,Physical effect alone proves closure,true,Fictional conformance case only
FIC-TEST-031,Architect,Authorization replay,Valid signed approval is replayed against a different facility,Bound facility identity and signature scope,rejected,Reject scope mismatch,Cryptographic validity proves semantic authority,true,Fictional conformance case only
FIC-TEST-032,Architect,Policy drift,Policy version changes between qualification and dispatch,Approved and current policy versions,qualified_failed,Re-evaluate under current policy,Latest policy can be silently substituted,true,Fictional conformance case only
FIC-TEST-033,Architect,Command collision,Two authorized interventions target the same point concurrently,Target lock and intervention identities,conflict,Serialize or resolve priority,Independent approvals cannot conflict,true,Fictional conformance case only
FIC-TEST-034,Architect,Reversal,Inverse command is issued under original approval,Current state and new authority chain,reversal_held,Create new intervention,Rollback is always pre-authorized,true,Fictional conformance case only
FIC-TEST-035,Architect,Irreversibility,Notification was sent before physical-state confirmation,Message evidence and effect evidence,cannot_reverse,Notify accountable owner and correct separately,Later rollback retracts the earlier communication,true,Fictional conformance case only
FIC-TEST-036,Architect,Provenance,Complete claim graph exists but source truth is disputed,Provenance plus conflict evidence,qualified_failed,Resolve or constrain authority,Lineage proves truth,true,Fictional conformance case only
FIC-TEST-037,Architect,Tracing,All spans are Ok but sensor readback is missing,Trace and readback inventory,effect_unverified,Keep trace and seek effect proof,Green trace proves facility result,true,Fictional conformance case only
FIC-TEST-038,Architect,Retention,Native receipt expired before audit,Hash pointer retention rule and missing bytes,evidence_incomplete,Mark limitation and remediate retention,Database summary reproduces native evidence,true,Fictional conformance case only
FIC-TEST-039,Architect,Accepted residual,Qualified owner accepts sensor disagreement indefinitely,Owner scope rationale and expiry,acceptance_invalid,Require bounded expiry and next action,Acceptance removes uncertainty,true,Fictional conformance case only
FIC-TEST-040,Architect,Claim boundary,All contract checks pass in simulation,Simulation environment and test evidence,simulated_pass,Label simulation only,Simulation proves deployment safety reliability or performance,true,Fictional conformance case only
