test_id,level,control_area,scenario,expected_gate,required_evidence,required_disposition,stop_condition,readback_method,rollback_or_compensation,residual_owner,evidence_boundary,fictional_flag,status
CPQ-018,Intermediate,Late event,Predecessor event arrives after corrected state is serving,stop,Event time observation time version and causation chain,quarantine,Late event would regress governing state,Read state version after attempted ingest,Reject or route to adjudication,fictional-event-owner,"No assertion about real provider ordering",yes,ready
CPQ-019,Intermediate,Correction of correction,Second authorized correction arrives before first reconciles,stop_and_supersede,Two packets authority and precedence rule,annotate,Two active governing candidates exist,Read supersession graph and source,Close first as superseded not reconciled,fictional-correction-owner,"No automatic merge or truth selection claim",yes,ready
CPQ-020,Intermediate,Partial execution,Four consumers pass and one fails,remain_open,Per-consumer receipts and states,quarantine,Any required consumer failed,Read all five governing outputs,Roll back affected high-consequence consumers or isolate,fictional-correction-owner,"Partial success is not correction closure",yes,ready
CPQ-021,Advanced,Dependency completeness,Graph query excludes manually maintained workbook,qualified_hold,Closure query known-gap register and owner,quarantine,Unowned consumer gap remains,Compare inventory to access and export evidence,Hold workbook distribution and add consumer,fictional-data-governance-owner,"No claim that graph traversal proves complete reality",yes,ready
CPQ-022,Advanced,Dependency cycles,Report and feature store derive from each other,stop,Versioned dependency graph and cycle trace,quarantine,No acyclic recomputation order,Validate graph topology,Break cycle under approved source rule,fictional-architecture-owner,"No claim that topology alone establishes semantic correctness",yes,ready
CPQ-023,Advanced,AI retrieval,Old chunk deleted but response cache serves prior answer,fail,Chunk manifest index version response-cache version and query probe,invalidate,Any current-state query returns predecessor,Probe uncached and cached paths,Invalidate response cache and rebuild,fictional-ai-context-owner,"Retrieval readback is not model truth or safety evidence",yes,ready
CPQ-024,Advanced,Evaluation correction,Corrected identity changes benchmark cohort membership,version_required,Old and new dataset manifests labels and inclusion rule,retract_and_recompute,Published score would be silently edited,Compare cohort rows and recomputed outputs,Publish versioned correction note if released,fictional-evaluation-owner,"No benchmark causal model or industry-performance claim",yes,ready
CPQ-025,Advanced,Recommendation history,Historical recommendation is rewritten with corrected context,fail,Immutable original envelope correction link and reevaluation ID,annotate,Original decision evidence changed,Hash original and corrected records,Restore original and create separate reevaluation,fictional-ai-governance-owner,"No claim the reevaluated recommendation would be better",yes,ready
CPQ-026,Advanced,Canonical surfaces,Owned page updates while downloadable fact sheet stays old,fail,Canonical manifest file hashes and dependency list,replace,Any governed public artifact differs,Fetch and hash exact surfaces,Restore prior release or update atomically,fictional-publisher-owner,"No crawl indexing ranking or coverage claim",yes,ready
CPQ-027,Advanced,Financial state,Fictional ledger reversal affects unreleased management draft,qualified_review,Ledger snapshot transformation version and accounting owner,recompute,Accounting authority or posting state unresolved,Compare corrected draft to governing ledger,Retain restricted predecessor draft for audit,fictional-accounting-owner,"No revenue cash accounting valuation or financial-statement evidence",yes,ready
CPQ-028,Advanced,Access consequence,Wrong fictional eligibility fact already triggered an access change,escalate,Action receipt current access state authority and safety review,cannot_reverse,Physical or access consequence lacks qualified owner,Read governing access controller state,Use authorized compensating action not blind replay,fictional-access-owner,"No real access instruction safety conclusion or incident closure",yes,ready
CPQ-029,Advanced,Sensor identity,Device reading was attached to wrong fictional unit,qualified_repair,Mapping versions affected-event set and incident owner,annotate_and_recompute,Historical alert would be erased,Query corrected mapping and affected records,Preserve original attribution plus correction link,fictional-device-data-owner,"No real sensor condition alarm or safety event",yes,ready
CPQ-030,Advanced,Protected values,Correction packet copies private customer value into broad register,fail,Data classification protected reference and least-necessary review,quarantine,Sensitive raw value leaves approved boundary,Inspect register fields and access scope,Replace value with protected reference or hash,fictional-privacy-owner,"No privacy compliance or legal conclusion",yes,ready
CPQ-031,Architect,Schema limits,Fictional packet passes JSON Schema and is called operationally correct,fail,Schema report plus truth authority dependency and readback reviews,annotate,Structural conformance is used as fitness proof,Review missing semantic evidence,Correct claim and keep packet held,fictional-architecture-owner,"Schema validity is not truth authority safety or closure",yes,ready
CPQ-032,Architect,Closure version,Consumer graph changes during propagation,stop_and_rebase,Dependency snapshot diff and new consumer owner,rebase,Execution targets no longer match approved closure,Compare dependency versions,Create revised approved propagation plan,fictional-correction-owner,"No claim a stale graph remains complete",yes,ready
CPQ-033,Architect,Lineage granularity,Column lineage exists but row cohort affected by correction is unknown,qualified_hold,Row-selection rule cohort query and uncertainty bound,recompute,Impact population cannot be bounded,Run qualified affected-row query,Quarantine derivative or recompute broader safe scope,fictional-data-lineage-owner,"No exact impact count without reproducible cohort",yes,ready
CPQ-034,Architect,Replay safety,Event replay can resend a message or reopen access,stop,Side-effect inventory suppression controls and consequence approval,replay,Unsafe side effect is enabled,Run dry simulation and inspect provider state,Use state repair or compensating action instead,fictional-workflow-owner,"Technical idempotency is not business-effect safety",yes,ready
CPQ-035,Architect,Retraction graph,Source assertion retracted but derived recommendation stays eligible,fail,Retraction event dependency edge and recommendation status,retract,Derivative remains eligible for current use,Query eligibility and correction linkage,Remove eligibility and create separate reevaluation,fictional-ai-governance-owner,"No inference that retraction reverses prior human action",yes,ready
CPQ-036,Architect,External provider,Vendor accepts correction request with tracking ID,remain_open,Exact request receipt provider state and public or API readback,notify,Provider output not independently read back,Check exact target surface or API,Follow governed escalation window,fictional-vendor-owner,"Request receipt is not delivery acceptance publication or correction",yes,ready
CPQ-037,Architect,Distributed readback,Primary region is corrected but secondary region is stale,fail,Region-specific version and readback evidence,invalidate,Any serving region returns predecessor,Query all governing regions,Hold release or invalidate lagging replica,fictional-platform-owner,"One-region success is not global consistency proof",yes,ready
CPQ-038,Architect,Racing corrections,Two authorized packets target same assertion concurrently,stop,Precondition precedence policy and authority comparison,rebase,Both candidates cannot be serialized,Read current version and active packet registry,Choose explicit supersession order,fictional-correction-owner,"No automated truth selection from timestamp alone",yes,ready
CPQ-039,Architect,Historical snapshots,Old snapshot remains queryable after current correction,pass_with_label,Snapshot IDs current pointer retention policy and consumer rule,annotate,Historical snapshot can be mistaken for current,Query current and time-travel views,Label or restrict current-decision use,fictional-table-owner,"Historical availability does not make old data current",yes,ready
CPQ-040,Architect,Residual acceptance,Nonreversible effect remains after all mutable consumers pass,close_with_residual,Named residual authority evidence and review date,cannot_reverse,Residual lacks accountable acceptance,Read residual ledger and owner approval,Execute approved compensation if later available,fictional-executive-owner,"Accepted residual is not reversal resolution safety or absence of harm",yes,ready
