entry_id,record_type,record_id,record_version,parent_policy_id,site_id,field_path,value,value_type,operation,invariant_class,source_reference,source_observed_at_utc,freshness_rule,authority_scope,effective_at_utc,expires_at_utc,merge_priority,status,notes
PC-R013,site_manifest,MAN-BIRCH-008,8,POL-EXAMPLE-001,SITE-BIRCH,capabilities.structured_anomaly_feed,true,boolean,declare,site_fact,fictional interface test FIT-BIR-17,2026-08-19T15:05:00Z,review every 30 days,integration-owner,2026-08-19T15:05:00Z,2026-09-18T15:05:00Z,10,exercise,"No vendor or deployment claim"
PC-R014,site_manifest,MAN-BIRCH-008,8,POL-EXAMPLE-001,SITE-BIRCH,capabilities.reversible_temporary_hold,unknown,tri_state,declare,site_fact,fictional capability review,2026-08-19T15:10:00Z,resolve before temporary hold,access-control-owner,2026-08-19T15:10:00Z,,10,exercise,"Unknown must not compile as true"
PC-R015,site_manifest,MAN-BIRCH-008,8,POL-EXAMPLE-001,SITE-BIRCH,readback.temporary_hold,unavailable,enum,declare,site_fact,fictional capability review,2026-08-19T15:10:00Z,resolve before temporary hold,access-control-owner,2026-08-19T15:10:00Z,,10,exercise,"Compiler should omit temporary hold action"
PC-R016,site_manifest,MAN-CEDAR-003,3,POL-EXAMPLE-001,SITE-CEDAR,timezone,America/Phoenix,iana_timezone,declare,site_fact,fictional capability review,2025-01-10T12:00:00Z,review every 90 days,site-fact-owner,2025-01-10T12:00:00Z,2025-04-10T12:00:00Z,10,expired,"Fictional expired manifest"
PC-R017,site_manifest,MAN-CEDAR-003,3,POL-EXAMPLE-001,SITE-CEDAR,capabilities.structured_anomaly_feed,true,boolean,declare,site_fact,fictional interface test FIT-CED-02,2025-01-10T12:05:00Z,review every 30 days,integration-owner,2025-01-10T12:05:00Z,2025-02-09T12:05:00Z,10,expired,"Compiler should reject stale fact"
PC-R018,overlay,OVR-ALDER-022,2,POL-EXAMPLE-001,SITE-ALDER,parameters.review_window_minutes,20,integer,replace,allowed_overlay,fictional site approval APP-ALD-09,2026-08-21T13:00:00Z,until expiry,site-policy-authority,2026-09-01T00:00:00Z,2026-12-01T00:00:00Z,20,exercise,"Within portfolio range"
PC-R019,overlay,OVR-ALDER-023,1,POL-EXAMPLE-001,SITE-ALDER,parameters.notification_channels,"email|review_queue",set,replace,allowed_overlay,fictional site approval APP-ALD-10,2026-08-21T13:05:00Z,until expiry,site-policy-authority,2026-09-01T00:00:00Z,2026-12-01T00:00:00Z,20,exercise,"Replace semantics explicitly declared"
PC-R020,overlay,OVR-BIRCH-011,1,POL-EXAMPLE-001,SITE-BIRCH,parameters.review_window_minutes,30,integer,replace,allowed_overlay,fictional site approval APP-BIR-04,2026-08-21T14:00:00Z,until expiry,site-policy-authority,2026-09-01T00:00:00Z,2026-12-01T00:00:00Z,20,exercise,"Valid parameter but does not create missing capability"
PC-R021,overlay,OVR-CEDAR-004,1,POL-EXAMPLE-001,SITE-CEDAR,parameters.reviewer_role,manager,string,replace,allowed_overlay,fictional site approval APP-CED-01,2026-08-21T15:00:00Z,until expiry,site-policy-authority,2026-09-01T00:00:00Z,2026-12-01T00:00:00Z,20,exercise,"Conflicts with OVR-CEDAR-005"
PC-R022,overlay,OVR-CEDAR-005,1,POL-EXAMPLE-001,SITE-CEDAR,parameters.reviewer_role,on_call_supervisor,string,replace,allowed_overlay,fictional site approval APP-CED-02,2026-08-21T15:05:00Z,until expiry,site-policy-authority,2026-09-01T00:00:00Z,2026-12-01T00:00:00Z,20,exercise,"Same priority and target; compiler should refuse"
PC-R023,overlay,OVR-INVALID-001,1,POL-EXAMPLE-001,SITE-ALDER,invariants.irreversible_change_requires_complete_identity,false,boolean,replace,prohibited_override,fictional invalid test input,2026-08-22T14:35:00Z,test only,none,2026-09-01T00:00:00Z,2026-09-02T00:00:00Z,99,invalid,"Deliberate invariant-override test"
PC-R024,exception,EXC-EXAMPLE-001,1,POL-EXAMPLE-001,SITE-BIRCH,capabilities.after_hours_reviewer,unavailable,enum,declare,exception,fictional exercise authoring,2026-08-22T14:36:00Z,expires after four hours,exception-authority,2026-09-03T00:00:00Z,2026-09-03T04:00:00Z,30,exercise,"Must include compensating control and revert-or-refuse behavior before eligibility"
PC-R025,output_contract,OUT-SCHEMA-001,1,POL-EXAMPLE-001,,artifact.input_versions,required,field_rule,declare,non_overridable,authored method,2026-08-22T14:40:00Z,until superseded,architecture-owner,2026-08-22T14:40:00Z,,0,draft,"Policy manifest overlays exceptions compiler and test-suite versions"
PC-R026,output_contract,OUT-SCHEMA-001,1,POL-EXAMPLE-001,,artifact.validation_results,required,field_rule,declare,non_overridable,authored method,2026-08-22T14:40:00Z,until superseded,architecture-owner,2026-08-22T14:40:00Z,,0,draft,"Include site field source constraint severity and remediation"
PC-R027,output_contract,OUT-SCHEMA-001,1,POL-EXAMPLE-001,,artifact.activation_state,not_authorized,enum,declare,non_overridable,authored method,2026-08-22T14:40:00Z,until superseded,activation-authority,2026-08-22T14:40:00Z,,0,draft,"Compilation never grants activation"
PC-R028,output_contract,OUT-SCHEMA-001,1,POL-EXAMPLE-001,,artifact.readback_state,not_observed,enum,declare,non_overridable,authored method,2026-08-22T14:40:00Z,until superseded,operations-observer,2026-08-22T14:40:00Z,,0,draft,"Readback remains separate from activation"
PC-R029,output_contract,OUT-SCHEMA-001,1,POL-EXAMPLE-001,,artifact.rollback_target,required_for_consequential_control,field_rule,declare,non_overridable,authored method,2026-08-22T14:40:00Z,until superseded,architecture-owner,2026-08-22T14:40:00Z,,0,draft,"Missing target makes the control non-activatable"
