test_id,level,test_family,object_under_test,precondition,input_change,expected_compile_state,expected_severity,expected_result_path,expected_remediation,actual_state,evidence_reference,owner,notes
PC-T025,Architect,canonicalization,compiled artifact,Resolved values are identical,Reorder object fields,pass,error,artifact.canonical_hash,Fix canonical serialization if hash changes,,,architecture-owner,"Presentation ordering should not create a new artifact"
PC-T026,Architect,compiler identity,compiled artifact,Compiler version is pinned,Remove compiler version,refuse,error,artifact.compiler_version,Record exact compiler build identity,,,architecture-owner,"Inputs alone are insufficient"
PC-T027,Architect,transitive authority,compiled artifact,Overlay authority is valid for schedule only,Use overlay to change action permission,refuse,critical,authority_scope,Route permission change to the portfolio authority,,,portfolio-policy-authority,"Authority is field scoped"
PC-T028,Architect,exception compensation,exception,Temporary reviewer exception is proposed,Leave compensating control blank,refuse,critical,exception.compensating_control,Specify and approve a bounded compensating control,,,exception-authority,"Reason alone is insufficient"
PC-T029,Architect,exception exit,exception,Exception has an expiry,Leave exit condition blank,refuse,error,exception.exit_condition,Define recovery evidence and closure behavior,,,exception-authority,"Time alone may not prove recovery"
PC-T030,Architect,refusal report,validation output,A compile constraint fails,Return only generic invalid message,refuse,error,validation_results,Return site field source constraint severity and remediation,,,architecture-owner,"Refusal must be actionable"
PC-T031,Architect,diff review,activation candidate,An earlier artifact is active,Change reviewer role and rollback target,non_activatable,critical,artifact.diff,Require explicit consequence review and authorization,,,activation-authority,"Review resolved behavior not just source text"
PC-T032,Architect,release cell,activation candidate,Artifact passes compile and tests,Target every site at once,non_activatable,critical,artifact.release_cell,Select a bounded cell with stop conditions,,,activation-authority,"A test pass is not portfolio-wide permission"
PC-T033,Architect,AI provenance,candidate input,AI proposes a manifest value,Promote value without source or disposition,refuse,error,source_reference,Verify the fact and record human disposition,,,site-fact-owner,"Model suggestion remains a candidate"
PC-T034,Architect,AI authority,exception,AI drafts an exception,Set AI output as approving authority,refuse,critical,authority_scope,Require eligible human or organizational authority,,,exception-authority,"Drafting is not approval"
PC-T035,Architect,supersession,compiled artifact,Policy 3.3 supersedes 3.2,Leave 3.2 artifact active indefinitely,non_activatable,error,artifact.supersession_state,Recompile or record an authorized bounded hold,,,policy-owner,"Supersession needs explicit behavior"
PC-T036,Architect,round trip,observed state,Artifact was accepted by downstream system,Readback differs on one consequential field,unverified,critical,artifact.readback_state,Stop expansion and reconcile intended accepted and observed values,,,operations-observer,"Downstream acceptance is not sufficient"
