case_id,level,drift_pattern,fictional_fixture,change,expected_compatibility,required_gate,expected_system_behavior,operator_check,evidence_required,rollback,public_claim_boundary,fictional,status
SDQ-013,Intermediate,Time-zone drift,delinquency_days,Change UTC day boundary to facility local time,breaking,Timezone DST and late-event tests,Version and replay affected intervals,Test midnight and DST edges,Named timezone fixtures and policy owner approval,Restore UTC version,No customer balance or legal conclusion,yes,ready
SDQ-014,Intermediate,Event-time drift,access_result,Use ingestion time instead of occurred_at,breaking,Lateness window and replay comparison,Reject ordering assumptions and preserve both clocks,Inspect late fictional event,Occurred observed and recorded timestamps,Restore occurred_at rule,No physical access claim,yes,ready
SDQ-015,Intermediate,Source-authority drift,account_balance,Use provider accepted event instead of posted ledger,breaking,Qualified source-owner review,Block financial decision use,Separate provider and ledger states,Private fictional fixture and posting reconciliation,Restore posted-ledger contract,No financial figure or accounting result,yes,ready
SDQ-016,Intermediate,Transformation drift,net_receipts,Exclude reversals after report period without version bump,breaking,Transformation hash and restatement impact,Quarantine unlabeled output,Recompute one fictional reversal case,Code hash source rows and period definition,Restore prior transformation,No revenue cash or performance claim,yes,ready
SDQ-017,Intermediate,Join-key drift,facility_id,Replace stable ID with normalized facility name,breaking,Identity-collision suite,Reject ambiguous joins,Test two facilities with similar names,Alias crosswalk collision report and owner review,Restore stable-key join,No facility ownership or relationship claim,yes,ready
SDQ-018,Intermediate,State-machine drift,work_order_status,Treat technician note as closed,breaking,Transition and evidence-gate tests,Keep work open awaiting readback,Show note attempt evidence and closure separately,Fictional work trace and closure policy,Restore prior closure gate,No maintenance outcome or instruction,yes,ready
SDQ-019,Intermediate,Direction drift,priority_score,Reverse ordinal meaning,breaking,Sort threshold UI and operator tests,Block ranked queue until all consumers migrate,Verify highest priority fictional case,Consumer sort snapshots and training acknowledgement,Restore prior scale direction,No safety priority or staffing conclusion,yes,ready
SDQ-020,Intermediate,Precision drift,unit_size,Round decimal area to integer without declared tolerance,breaking,Precision tolerance and display tests,Version or reject lossy transformation,Compare boundary values,Source precision rule and fixtures,Restore decimal representation,No real measurement claim,yes,ready
SDQ-021,Advanced,Calibration drift,confidence_score,New model family emits same 0-1 field with different calibration,breaking,Model evaluation calibration and queue-behavior gate,Hold threshold reuse and label model version,Compare score distributions only within governed evaluation set,Model card evaluation set calibration and threshold review,Restore prior model contract,No model accuracy or capability claim,yes,ready
SDQ-022,Advanced,Derived-to-source promotion,gate_status,Generated summary becomes authoritative input,breaking,Provenance cycle and source-authority test,Reject inference recirculation,Trace every value to originating record,Lineage graph source map and cycle detector,Remove derived source admission,No gate state or AI performance claim,yes,ready
SDQ-023,Advanced,Contract without version bump,occupancy_rate,Definition bytes change under version 2.4.1,breaking,Definition digest immutability gate,Fail release and mint new version,Compare committed contract hash,Prior and candidate hashes plus change owner,Restore prior bytes,No metric result,yes,ready
SDQ-024,Advanced,Schema-compatible semantic break,office_hours,String remains valid while meaning changes,breaking,Semantic diff beyond structural schema,Block automated compatibility claim,Read definition population authority and time fields,Contract-field diff and owner disposition,Retain predecessor definition,No hours claim,yes,ready
SDQ-025,Advanced,Additive field with privacy impact,customer_message_status,Add recipient-read timestamp to broad export,unknown,Data classification and least-necessary review,Hold export until access boundary approved,Ask whether consumer needs the field,Field classification consumer list and redacted fixture,Omit field from export,No customer behavior or privacy conclusion,yes,ready
SDQ-026,Advanced,Backfill meaning mismatch,lead_source,Recompute history with new first-touch rule but preserve old label,breaking,Restatement labeling and period boundary,Store versioned series rather than overwrite,Compare original and restated fictional rows,Backfill manifest old and new outputs and lineage,Restore original series,No marketing performance claim,yes,ready
SDQ-027,Advanced,Dual-read disagreement,available_units,Old and new contracts differ on reserved unit,breaking,Mismatch classification and owner decision,Keep both values visible and block downstream action,Inspect which contract each consumer uses,Paired observations reason code and decision owner,Route consumer to prior contract,No availability claim,yes,ready
SDQ-028,Advanced,Consumer shadow dependency,account_balance,Spreadsheet reads undocumented provider field,unknown,Consumer inventory and access log review,Quarantine migration until dependency resolved,Find unregistered downstream use,Read logs workbook mapping and owner acknowledgement,Maintain prior export temporarily,No account balance or accounting conclusion,yes,ready
SDQ-029,Advanced,Threshold semantic drift,confidence_score,Review threshold 0.8 reused after score redefinition,breaking,Threshold revalidation and human-queue impact,Block automated routing,Measure queue changes on fictional evaluation cases,Threshold decision record and bounded evaluation results,Restore prior score and threshold,No model performance or staffing claim,yes,ready
SDQ-030,Advanced,Authority-owner change,facility_id,Data steward changes without updated approval routing,unknown,Role source and effective-time verification,Hold merges and ID issuance,Confirm current accountable owner,Approved role assignment and effective interval,Use prior authorized owner until expiry,No employment ownership or authority claim,yes,ready
SDQ-031,Architect,Semantic version classification,semantic_contract,Population change labeled patch version,breaking,Machine rule plus qualified owner review,Reject patch and require major version,Explain why structural validity is insufficient,Diff output compatibility rubric and approval,Retain predecessor version,No universal semantic-version rule claimed,yes,ready
SDQ-032,Architect,Contract graph cycle,semantic_contract,Version 3 lists version 2 predecessor while version 2 lists version 3,breaking,Version-DAG validation,Fail release and quarantine cycle,Trace predecessor chain,Graph cycle report and corrected lineage,Restore acyclic manifest,No production deployment claim,yes,ready
SDQ-033,Architect,Rollback cannot restore semantics,occupancy_rate,Old code removed before migration acceptance,breaking,Executable rollback and prior-artifact checksum,Stop release,Run prior calculation from preserved inputs,Source commit artifact hashes and replay result,Reinstate prior transformation and contract,No service-level or recovery-time claim,yes,ready
SDQ-034,Architect,Cross-contract inconsistency,facility_id and occupancy_rate,Metric contract uses vendor site code after identity contract changes,breaking,Cross-contract dependency graph,Block metric release,Inspect term-version dependencies,Dependency graph alias fixtures and consumer result,Pin prior identity contract,No facility or metric result,yes,ready
SDQ-035,Architect,Event dataschema drift,access_result,Event type unchanged while dataschema points to new incompatible contract,breaking,Event replay and consumer schema negotiation,Reject silent parse and route compatibility exception,Compare type source subject and dataschema,Event fixtures schema hashes and consumer matrix,Publish prior dataschema events,No access event truth or action claim,yes,ready
SDQ-036,Architect,Unit ontology version drift,unit_size,Unit identifier changes to locally minted ambiguous code,breaking,Unit-IRI resolution and conversion ownership,Reject ambiguous unit,Resolve exact unit and dimension,Unit vocabulary version conversion test and source owner,Retain prior QUDT-aligned IRI,No endorsement or measurement claim,yes,ready
SDQ-037,Architect,Conformance overclaim,semantic_contract,Fictional JSON passes Draft 2020-12 schema,unknown,Truth authority compatibility and operational review,Label structural conformance only,Name what validation did not test,Validator report plus explicit limitations,No rollback needed for teaching fixture,No deployment certification or safety claim,yes,ready
SDQ-038,Architect,AI retrieval version mixing,work_order_status,Retriever combines examples from versions 3 and 4,breaking,Version-filtered corpus and citation trace,Hold answer or state conflict,Inspect cited contract versions,Retrieval trace corpus manifest and conflict result,Pin prior approved corpus,No AI accuracy or operational outcome claim,yes,ready
SDQ-039,Architect,Historical query ambiguity,occupancy_rate,Dashboard compares version 2 history with version 3 current without label,breaking,Series-version labeling and comparability test,Prevent unlabeled trend line,Identify contract version per point,Observation metadata contract IDs and UI snapshot,Show separated series,No occupancy trend or portfolio result,yes,ready
SDQ-040,Architect,Unowned semantic change,any consequential term,Automated producer emits new meaning with no approval owner,unknown,Fail-closed ownership and change-intake gate,Quarantine candidate contract and notify governed queue,Verify owner before consumer release,Change artifact source identity diff and assignment record,Continue prior contract,No adoption authority or operational result claimed,yes,ready
