test_id,level,control_area,scenario,input_condition,expected_state,expected_behavior,evidence_required,owner_role,rollback_or_recovery,pass_criterion,claim_boundary,fictional_facility,notes
FSG-T024,Advanced,reconciliation_version,Source extract changes,Prior reconciliation used old bytes,superseded,preserve_original_and_new_version,extract_hashes_and_times,reconciler,reopen or create successor,Original close remains reconstructable,"Fictional correction",Foxtrot,Do not mutate evidence
FSG-T025,Advanced,manual_match,Reviewer selects candidate,Rule confidence is low,review_required,require cited rationale,candidates_features_and_approval,reviewer,unmatch and return to queue,Manual choice is attributable,"No accuracy claim",Alder,Confidence is not proof
FSG-T026,Advanced,dispute,Financial records match,Dispute outcome remains open,reconciled_with_open_items,separate financial and dispute states,match_evidence_and_dispute_id,dispute owner,continue dispute workflow,Reconciliation does not resolve dispute,"No legal outcome",Birch,Two state machines coexist
FSG-T027,Advanced,reopen,Late reversal arrives,Reconciliation was closed,reopened,link reversal and reopen reason,original_close_and_reversal,reconciler,run bounded successor reconciliation,History remains complete,"Fictional reversal",Cedar,Closed is not immutable truth
FSG-T028,Architect,state_machine,Initiated jumps to reconciled,Intermediate evidence absent,failed,reject_transition,state_contract_and_request,architecture owner,return to last valid state,Illegal transition cannot execute,"Proposed architecture",Delta,Workflow may skip only when not applicable is evidenced
FSG-T029,Architect,three_valued_logic,Status query times out,Boolean default is succeeded,failed,return_unknown,query_error_and_policy,architecture owner,manual bounded review,Failure to read cannot promote state,"No availability claim",Echo,Unknown is first-class
FSG-T030,Architect,provenance,AI extracts journal ID,Source span points elsewhere,draft_only,quarantine_candidate,model_version_source_span_and_output,human reviewer,discard and re-extract,AI output cannot create linkage,"No model accuracy claim",Foxtrot,Evidence assembler only
FSG-T031,Architect,authority,Automation creates adjustment,No explicit adjustment authority,failed,block_write,tool_scope_role_and_policy,control owner,revoke action and inspect effects,Tool access is not financial authority,"No security certification",Alder,Authorization is decision-time
FSG-T032,Architect,replay,Events replay after mapping update,Historical states change silently,failed,preserve_decision_time_mapping,event_log_and_mapping_versions,architecture owner,recompute only as labeled analysis,Historical result is reconstructable,"Fictional replay",Birch,Version semantic mappings
FSG-T033,Architect,concurrency,Reversal and payout cross,Two owners close simultaneously,review_required,serialize or reconcile conflict,event_versions_and_close_attempts,architecture owner,reopen under conflict rule,Only one governed final disposition exists,"No transaction guarantee",Cedar,Preserve both attempts
FSG-T034,Architect,retention,Provider evidence expires,Ledger remains available,unreconstructable,flag_missing_source,retention_policy_and_locator,records owner,recover governed copy if authorized,Missing evidence is explicit,"No retention-law claim",Delta,Availability differs from truth
FSG-T035,Architect,observability,Dashboard says reconciled,Open-item record still exists,failed,derive projection from governed state,query_logic_and_open_items,data owner,correct projection and inspect consumers,Dashboard cannot invent closure,"No dashboard performance claim",Echo,Observe source decisions
FSG-T036,Architect,rollback,Mapping release misclassifies processing as success,Downstream notices generated,exception_active,stop automation and enumerate effects,release_identity_events_and_messages,incident owner,restore mapping and reconcile each effect,Rollback does not erase sent outputs,"Fictional failure path",Foxtrot,Containment and correction remain separate
